id,name,description,max_attempts,value,category,type,state,requirements
1,API-only XSS,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> without using the frontend application at all. (Difficulty Level: 3)",0,450,XSS,standard,visible,
2,Access Log,Gain access to any access log file of the server. (Difficulty Level: 4),0,700,Sensitive Data Exposure,standard,visible,
3,Admin Registration,Register as a user with administrator privileges. (Difficulty Level: 3),0,450,Improper Input Validation,standard,visible,
4,Admin Section,Access the administration section of the store. (Difficulty Level: 2),0,250,Broken Access Control,standard,visible,
5,Bjoern's Favorite Pet,"Reset the password of Bjoern's OWASP account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question. (Difficulty Level: 3)",0,450,Broken Authentication,standard,visible,
6,Blockchain Hype,Learn about the Token Sale before its official announcement. (Difficulty Level: 5),0,1000,Security through Obscurity,standard,visible,
7,CAPTCHA Bypass,Submit 10 or more customer feedbacks within 10 seconds. (Difficulty Level: 3),0,450,Broken Anti Automation,standard,visible,
8,Change Bender's Password,Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password. (Difficulty Level: 5),0,1000,Broken Authentication,standard,visible,
9,Christmas Special,Order the Christmas special offer of 2014. (Difficulty Level: 4),0,700,Injection,standard,visible,
10,Classic Stored XSS,Perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. (Difficulty Level: 2),0,250,XSS,standard,visible,
11,Client-side XSS Protection,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. (Difficulty Level: 3)",0,450,XSS,standard,visible,
12,Confidential Document,Access a confidential document. (Difficulty Level: 1),0,100,Sensitive Data Exposure,standard,visible,
13,DOM XSS,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>. (Difficulty Level: 1)",0,100,XSS,standard,visible,
14,Database Schema,Exfiltrate the entire DB schema definition via SQL Injection. (Difficulty Level: 3),0,450,Injection,standard,visible,
15,Deprecated Interface,Use a deprecated B2B interface that was not properly shut down. (Difficulty Level: 2),0,250,Security Misconfiguration,standard,visible,
