id,oauth_id,name,password,email,type,secret,website,affiliation,country,bracket,hidden,banned,verified,team_id,created
1,,admin,"",,admin,,,,,,True,False,False,,2019-05-21 08:12:53
2,,,"",,user,,,,,,False,False,False,,2019-05-21 08:12:53
3,,,"",,user,,,,,,False,False,False,,2021-06-02 17:42:52
4,,,"",,user,,,,,,False,False,False,,2021-06-07 16:29:16
5,,,"",,user,,,,,,False,False,False,,2021-06-07 16:40:59
6,,,"",,user,,,,,,False,False,False,,2021-06-07 20:20:00
7,,,"",,user,,,,,,False,False,False,,2021-06-07 20:22:45
8,,,"",,user,,,,,,False,False,False,,2021-06-07 20:23:25
9,,,"",,user,,,,,,False,False,False,,2021-06-07 20:24:04
10,,,"",,user,,,,,,False,False,False,,2021-06-07 20:40:58
11,,,"",,user,,,,,,False,False,False,,2021-06-07 21:35:52
12,,,"",,user,,,,,,False,False,False,,2021-06-07 21:43:47
13,,,"",,user,,,,,,False,False,False,,2021-06-07 21:45:34
14,,,"",,user,,,,,,False,False,False,,2021-06-07 22:22:04
15,,,"",,user,,,,,,False,False,False,,2021-06-07 23:06:06
16,,,"",,user,,,,,,False,False,False,,2021-06-07 23:53:51
17,,,"",,user,,,,,,False,False,False,,2021-06-08 00:53:34
18,,,"",,user,,,,,,False,False,False,,2021-06-08 01:21:19
19,,,"",,user,,,,,,False,False,False,,2021-06-08 04:42:39
20,,,"",,user,,,,,,False,False,False,,2021-06-08 04:47:10
21,,,"",,user,,,,,,False,False,False,,2021-06-08 04:47:48
22,,,"",,user,,,,,,False,False,False,,2021-06-08 12:27:45
23,,,"",,user,,,,,,False,False,False,,2021-06-08 12:39:05
24,,,"",,user,,,,,,False,False,False,,2021-06-08 13:32:49
25,,,"",,user,,,,,,False,False,False,,2021-06-08 14:20:54
26,,,"",,user,,,,,,False,False,False,,2021-06-08 14:31:07
27,,,"",,user,,,,,,False,False,False,,2021-06-08 14:38:49
28,,,"",,user,,,,,,False,False,False,,2021-06-08 15:23:52
29,,,"",,user,,,,,,False,False,False,,2021-06-08 15:30:19
30,,,"",,user,,,,,,False,False,False,,2021-06-08 16:35:20
31,,,"",,user,,,,,,False,False,False,,2021-06-08 16:45:05
32,,,"",,user,,,,,,False,False,False,,2021-06-08 16:46:33
33,,,"",,user,,,,,,False,False,False,,2021-06-08 16:51:12
34,,,"",,user,,,,,,False,False,False,,2021-06-08 16:55:12
35,,,"",,user,,,,,,False,False,False,,2021-06-08 17:38:20
36,,,"",,user,,,,,,False,False,False,,2021-06-08 17:57:41
37,,,"",,user,,,,,,False,False,False,,2021-06-08 18:00:07
38,,,"",,user,,,,,,False,False,False,,2021-06-08 19:26:46
39,,,"",,user,,,,,,False,False,False,,2021-06-08 19:29:40
40,,,"",,user,,,,,,False,False,False,,2021-06-08 19:43:12
41,,,"",,user,,,,,,False,False,False,,2021-06-08 19:53:23
42,,,"",,user,,,,,,False,False,False,,2021-06-08 21:31:36
43,,,"",,user,,,,,,False,False,False,,2021-06-09 17:13:33
44,,,"",,user,,,,,,False,False,False,,2021-06-10 02:12:45
